Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2021-07-27,12086,10.01,10.48,9.68,10.48,9054973
2021-07-29,3594,10.39,10.77,10.39,11.0354,8249052
2021-07-30,34821,10.3,10.69,10.0712,10.96,5536787
2021-08-02,298364,10.1,10.3,10.1,10.87,4890980
2021-08-03,1606,10.38,10.15,10.15,10.56,6049598
2021-08-04,26843,9.9,10.17,9.9,10.446,7604404
2021-08-05,2248,10.62,10.24,9.95,10.64,11387562
2021-08-06,5150,10.59,10.65,10.4,10.87,4664301
2021-08-09,20243,10.61,10.65,10.38,11.03,6330117
2021-08-10,10285,10.51,10.6,10.46,10.86,5049737
2021-08-11,14534,10.65,10.5,10.23,10.89,5287250
2021-08-12,87952,10.4,10.52,10.36,10.52,3853689
2021-08-13,15783,9.93,10.41,9.93,10.4271,5914011
2021-08-16,38763,10.15,10.26,9.67,10.26,7882146
2021-08-17,26793,10.08,9.9,9.59,10.08,9787180
2021-08-18,151738,10.36,9.98,9.9,10.44,10255539
2021-08-19,234555,9.63,9.9,9.63,10.28,7963024
2021-08-20,48249,9.72,9.76,9.72,9.94,5431351
2021-08-23,19889,10.38,10.2,9.71,10.73,8817223
2021-08-24,4000,11.5,10.22,10.22,11.67,25082515
2021-08-25,27872,11.12,11.53,10.8,12.21,26545800
2021-08-26,36245,11.19,11.06,10.89,11.24,14000014
2021-08-27,24943,11.4,11.08,11.08,11.6,13171455
2021-08-30,205,11.51,11.68,11.2,11.9,10503282
2021-08-31,39275,11.69,11.68,11.565,11.69,8996254
2021-09-02,34702,11.31,11.95,11.31,12.05,9019593
2021-09-03,19691,11.29,11.5,11.29,11.5,4918836
2021-09-08,356,10.39,11.05,10.39,11.05,6806187
2021-09-09,45104,10.8,10.4,10.4,11.21,9365955
2021-09-10,4997,10.59,11.28,10.59,11.28,5174761
2021-09-13,36606,10.55,10.86,10.55,10.86,6553354
2021-09-14,193324,10.2,10.76,10.105,10.96,7176836
